RANK,NAME,SYMBOL,PRICE($),VOLUME,MARKETCAP,EventProcessedDate
45,Ocean Protocol,ocean,0.477071,48288841,207062000.0,2023-02-14
46,Loopring,lrc,0.409075,48034329,509704695.0,2023-02-14
47,ApeCoin,ape,5.21846,47717781,1904331836.0,2023-02-14
48,Decentraland,mana,0.67407,47610860,1224528786.0,2023-02-14
49,Onyxcoin,xcn,0.0172618,45836103,370659862.0,2023-02-14
50,BarnBridge,bond,5.03024,45755265,49908016.0,2023-02-14
1,Tether,usdt,1.0004,18970769454,69210070003.0,2023-02-14
2,Bitcoin,btc,22210.1,13535089513,427805758251.0,2023-02-14
3,Binance USD,busd,0.999616,7346483808,21835012862.0,2023-02-14
4,Ethereum,eth,1558.86,3182612954,189320470263.0,2023-02-14
5,USD Coin,usdc,0.99995,567831814,42563284543.0,2023-02-14
6,Solana,sol,21.9371,456791655,8038088323.0,2023-02-14
7,XRP,xrp,0.378722,392966977,19085885472.0,2023-02-14
8,Polygon,matic,1.2551,378508071,11240093150.0,2023-02-14
9,Binance Coin,bnb,297.637,347695256,47796924330.0,2023-02-14
10,Aptos,apt,14.3999,324567096,2106886706.0,2023-02-14
11,Fantom,ftm,0.511439,321394167,1420373273.0,2023-02-14
12,Hashflow,hft,0.715489,231021087,125374704.0,2023-02-14
13,SingularityNET,agix,0.458423,218584392,537017214.0,2023-02-14
14,Cardano,ada,0.387409,182360361,13576766504.0,2023-02-14
15,Dogecoin,doge,0.0833728,169451159,11446052044.0,2023-02-14
16,SHIBA INU,shib,1.27488e-05,167473495,7513776038.0,2023-02-14
17,Optimism,op,2.40905,161063461,541431079.0,2023-02-14
18,The Graph,grt,0.167731,157187628,1474049277.0,2023-02-14
19,Litecoin,ltc,95.2599,155008409,6841527786.0,2023-02-14
20,Fetch.ai,fet,0.452214,153960467,311176571.0,2023-02-14
21,Lido DAO Token,ldo,2.54628,131716164,2110020693.0,2023-02-14
22,Mina,mina,1.00482,116702124,842620976.0,2023-02-14
23,Render Token,rndr,1.72994,109529525,478918381.0,2023-02-14
24,Avalanche,avax,18.0669,97844747,5653030009.0,2023-02-14
25,Gala,gala,0.0438963,95139316,331087995.0,2023-02-14
26,dYdX,dydx,2.66294,93769114,372615796.0,2023-02-14
27,Magic,magic,1.65124,90601406,341801624.0,2023-02-14
28,Curve,crv,1.07526,88445662,782835326.0,2023-02-14
29,Hooked Protocol,hook,2.56532,87836545,128266281.0,2023-02-14
30,ChainLink,link,6.82654,79077497,3355928892.0,2023-02-14
31,TRON,trx,0.0665839,78630335,6129338990.0,2023-02-14
32,The Sandbox,sand,0.715019,78494019,1123980286.0,2023-02-14
33,Polkadot,dot,6.24207,75888091,7374729263.0,2023-02-14
34,Hedera,hbar,0.087662,74388177,2233017692.0,2023-02-14
35,Cosmos,atom,13.4688,67037466,3898925617.0,2023-02-14
36,Oasis Network,rose,0.0774986,65525600,389768337.0,2023-02-14
37,Terra Classic,luna,0.000169529,63340169,1007986620.0,2023-02-14
38,TerraClassicUSD,ust,0.03039,62662512,297806814.0,2023-02-14
39,Multi Collateral DAI,dai,0.999945,61689271,5194570309.0,2023-02-14
40,NEAR Protocol,near,2.24151,59099596,1875794201.0,2023-02-14
41,Aave,aave,82.9043,56907916,1173146966.0,2023-02-14
42,Highstreet,high,3.24397,56671176,99404117.0,2023-02-14
43,Filecoin,fil,5.07849,51717746,1978143323.0,2023-02-14
44,USDD,usdd,0.986775,51009005,715739873.0,2023-02-14
45,Ocean Protocol,ocean,0.477071,48291620,207062000.0,2023-02-14
46,Loopring,lrc,0.409152,48036512,509801142.0,2023-02-14
47,ApeCoin,ape,5.21846,47720386,1904331822.0,2023-02-14
48,Decentraland,mana,0.674404,47613045,1225135319.0,2023-02-14
49,Onyxcoin,xcn,0.0172618,45839061,370659866.0,2023-02-14
50,BarnBridge,bond,5.03024,45756655,49908017.0,2023-02-14
1,Tether,usdt,1.00039,18988014706,69209492607.0,2023-02-14
2,Bitcoin,btc,22211.0,13535842714,427823481732.0,2023-02-14
3,Binance USD,busd,0.999616,7347893726,21835022002.0,2023-02-14
4,Ethereum,eth,1558.75,3183183224,189307333362.0,2023-02-14
5,USD Coin,usdc,0.999968,581412543,42564016212.0,2023-02-14
6,Solana,sol,21.9361,456831340,8037735726.0,2023-02-14
7,XRP,xrp,0.378723,393005893,19085966276.0,2023-02-14
8,Polygon,matic,1.25475,378548179,11236919045.0,2023-02-14
9,Binance Coin,bnb,297.781,347696198,47820105912.0,2023-02-14
10,Aptos,apt,14.3999,324591344,2106891840.0,2023-02-14
11,Fantom,ftm,0.511068,321241461,1419343166.0,2023-02-14
12,Hashflow,hft,0.716258,231251925,125509371.0,2023-02-14
13,SingularityNET,agix,0.458619,218704237,537246853.0,2023-02-14
14,Cardano,ada,0.387415,182617518,13576972930.0,2023-02-14
15,Dogecoin,doge,0.0833728,169418188,11446047881.0,2023-02-14
16,SHIBA INU,shib,1.27491e-05,167501041,7513987727.0,2023-02-14
17,Optimism,op,2.40905,161240721,541431079.0,2023-02-14
18,The Graph,grt,0.167947,157460267,1475945690.0,2023-02-14
19,Litecoin,ltc,95.2455,155047701,6840494082.0,2023-02-14
20,Fetch.ai,fet,0.452101,154033347,311098765.0,2023-02-14
21,Lido DAO Token,ldo,2.54628,131771373,2110020693.0,2023-02-14
22,Mina,mina,1.00482,116713766,842623257.0,2023-02-14
23,Render Token,rndr,1.72913,109334108,478692071.0,2023-02-14
24,Avalanche,avax,18.0691,97860147,5653722893.0,2023-02-14
25,Gala,gala,0.0439051,95165426,331154164.0,2023-02-14
26,dYdX,dydx,2.65825,93800592,371959740.0,2023-02-14
27,Magic,magic,1.65055,90627114,341659284.0,2023-02-14
28,Curve,crv,1.07526,88434389,782835325.0,2023-02-14
29,Hooked Protocol,hook,2.56368,87815700,128184116.0,2023-02-14
30,ChainLink,link,6.82398,79088208,3354669389.0,2023-02-14
31,The Sandbox,sand,0.714937,78520572,1123850428.0,2023-02-14
32,TRON,trx,0.0665923,78491184,6130109916.0,2023-02-14
33,Polkadot,dot,6.24207,75890363,7374729450.0,2023-02-14
34,Hedera,hbar,0.0876248,74308259,2232071194.0,2023-02-14
35,Cosmos,atom,13.4723,67028482,3899951064.0,2023-02-14
36,Oasis Network,rose,0.0774432,65548575,389489858.0,2023-02-14
37,Terra Classic,luna,0.000169529,63311723,1007986620.0,2023-02-14
38,TerraClassicUSD,ust,0.03039,62660658,297806814.0,2023-02-14
39,Multi Collateral DAI,dai,0.999945,61653504,5194570333.0,2023-02-14
40,NEAR Protocol,near,2.24151,59089886,1875794201.0,2023-02-14
41,Aave,aave,82.8957,56915394,1173024196.0,2023-02-14
42,Highstreet,high,3.24198,56676386,99342934.0,2023-02-14
43,Filecoin,fil,5.07849,51704721,1978143323.0,2023-02-14
44,USDD,usdd,0.986772,51021168,715737987.0,2023-02-14
45,Ocean Protocol,ocean,0.477071,48304621,207062000.0,2023-02-14
46,Loopring,lrc,0.409478,48034558,510206323.0,2023-02-14
47,ApeCoin,ape,5.21632,47725531,1903552791.0,2023-02-14
48,Decentraland,mana,0.674404,47590042,1225135318.0,2023-02-14
49,Onyxcoin,xcn,0.0172618,45853170,370660021.0,2023-02-14
50,BarnBridge,bond,5.03024,45689539,49908021.0,2023-02-14
1,Tether,usdt,1.00039,18987165563,69209516959.0,2023-02-14
2,Bitcoin,btc,22210.9,13535763366,427820949393.0,2023-02-14
3,Binance USD,busd,0.999616,7347315508,21835022253.0,2023-02-14
4,Ethereum,eth,1558.64,3183183106,189294487936.0,2023-02-14
5,USD Coin,usdc,0.999968,581407261,42564016216.0,2023-02-14
6,Solana,sol,21.9292,456830867,8035203376.0,2023-02-14
7,XRP,xrp,0.378722,393005373,19085885260.0,2023-02-14
8,Polygon,matic,1.25458,378547680,11235353898.0,2023-02-14
9,Binance Coin,bnb,297.781,347694926,47820105912.0,2023-02-14
10,Aptos,apt,14.3998,324591371,2106873716.0,2023-02-14
11,Fantom,ftm,0.511067,321241357,1419341585.0,2023-02-14
12,Hashflow,hft,0.714429,231251896,125188918.0,2023-02-14
13,SingularityNET,agix,0.457797,218704184,536284294.0,2023-02-14
14,Cardano,ada,0.387423,182617061,13577255165.0,2023-02-14
15,Dogecoin,doge,0.0833567,169417892,11443834939.0,2023-02-14
16,SHIBA INU,shib,1.27491e-05,167500934,7513987739.0,2023-02-14
17,Optimism,op,2.40905,161240643,541431079.0,2023-02-14
18,The Graph,grt,0.167947,157460149,1475945875.0,2023-02-14
19,Litecoin,ltc,95.2474,155047581,6840630641.0,2023-02-14
20,Fetch.ai,fet,0.452101,154033318,311098758.0,2023-02-14
21,Lido DAO Token,ldo,2.54628,131771388,2110020256.0,2023-02-14
22,Mina,mina,1.00482,116713762,842623257.0,2023-02-14
23,Render Token,rndr,1.72923,109334127,478720415.0,2023-02-14
24,Avalanche,avax,18.0691,97860108,5653722893.0,2023-02-14
25,Gala,gala,0.0439226,95165413,331286499.0,2023-02-14
26,dYdX,dydx,2.65825,93800606,371959759.0,2023-02-14
27,Magic,magic,1.65054,90627128,341656924.0,2023-02-14
28,Curve,crv,1.07526,88434345,782835325.0,2023-02-14
29,Hooked Protocol,hook,2.56182,87815703,128091146.0,2023-02-14
30,ChainLink,link,6.82398,79088100,3354669389.0,2023-02-14
31,The Sandbox,sand,0.714937,78520587,1123850428.0,2023-02-14
32,TRON,trx,0.0665923,78491051,6130109916.0,2023-02-14
33,Polkadot,dot,6.24262,75890267,7375376717.0,2023-02-14
34,Hedera,hbar,0.0876205,74308251,2231959972.0,2023-02-14
35,Cosmos,atom,13.468,67028425,3898720498.0,2023-02-14
36,Oasis Network,rose,0.0774538,65548543,389543130.0,2023-02-14
37,Terra Classic,luna,0.000169529,63311732,1007986620.0,2023-02-14
38,TerraClassicUSD,ust,0.03039,62660658,297806814.0,2023-02-14
39,Multi Collateral DAI,dai,0.999945,61653140,5194570333.0,2023-02-14
40,NEAR Protocol,near,2.24221,59089882,1876378609.0,2023-02-14
41,Aave,aave,82.8609,56915315,1172533103.0,2023-02-14
42,Highstreet,high,3.24198,56676394,99342934.0,2023-02-14
43,Filecoin,fil,5.07849,51704715,1978143387.0,2023-02-14
44,USDD,usdd,0.986773,51019549,715738240.0,2023-02-14
45,Ocean Protocol,ocean,0.477071,48304621,207062000.0,2023-02-14
46,Loopring,lrc,0.409478,48034529,510206316.0,2023-02-14
47,ApeCoin,ape,5.21632,47725507,1903552791.0,2023-02-14
48,Decentraland,mana,0.674404,47590026,1225135318.0,2023-02-14
49,Onyxcoin,xcn,0.0172618,45853184,370660021.0,2023-02-14
50,BarnBridge,bond,5.03024,45689537,49908022.0,2023-02-14
1,Tether,usdt,1.0004,18995836201,69210368525.0,2023-02-14
2,Bitcoin,btc,22225.2,13536080907,428096260838.0,2023-02-14
3,Binance USD,busd,0.999616,7350524470,21835022248.0,2023-02-14
4,Ethereum,eth,1559.57,3183313298,189406860550.0,2023-02-14
5,USD Coin,usdc,0.999968,581475625,42564016216.0,2023-02-14
6,Solana,sol,21.9302,456843388,8035551100.0,2023-02-14
7,XRP,xrp,0.378934,393017259,19096565107.0,2023-02-14
8,Polygon,matic,1.2548,378559916,11237328274.0,2023-02-14
9,Binance Coin,bnb,297.73,347722964,47811938981.0,2023-02-14
10,Aptos,apt,14.402,324598973,2107198507.0,2023-02-14
11,Fantom,ftm,0.510839,321253586,1418706516.0,2023-02-14
12,Hashflow,hft,0.715393,231260837,125357749.0,2023-02-14
13,SingularityNET,agix,0.459023,218713982,537720657.0,2023-02-14
14,Cardano,ada,0.38768,182623491,13586256275.0,2023-02-14
15,Dogecoin,doge,0.0834247,169422289,11453174536.0,2023-02-14
16,SHIBA INU,shib,1.27497e-05,167502295,7514328183.0,2023-02-14
17,Optimism,op,2.41,161244466,541644431.0,2023-02-14
18,The Graph,grt,0.168019,157463582,1476578148.0,2023-02-14
19,Litecoin,ltc,95.3213,155055518,6845940450.0,2023-02-14
20,Fetch.ai,fet,0.452675,154037591,311494068.0,2023-02-14
21,Lido DAO Token,ldo,2.54951,131774522,2112699493.0,2023-02-14
22,Mina,mina,1.00482,116716227,842623184.0,2023-02-14
23,Render Token,rndr,1.72944,109336032,478778938.0,2023-02-14
24,Avalanche,avax,18.0775,97862389,5656364651.0,2023-02-14
25,Gala,gala,0.0439402,95167246,331418856.0,2023-02-14
26,dYdX,dydx,2.65813,93803025,371942986.0,2023-02-14
27,Magic,magic,1.65331,90629198,342230454.0,2023-02-14
28,Curve,crv,1.07607,88436545,783421491.0,2023-02-14
29,Hooked Protocol,hook,2.56409,87818493,128204686.0,2023-02-14
30,ChainLink,link,6.82736,79091136,3356332744.0,2023-02-14
31,The Sandbox,sand,0.714774,78523769,1123595024.0,2023-02-14
32,TRON,trx,0.0665923,78495764,6130109916.0,2023-02-14
33,Polkadot,dot,6.24471,75893796,7377842158.0,2023-02-14
34,Hedera,hbar,0.0877666,74310436,2235682661.0,2023-02-14
35,Cosmos,atom,13.4741,67030854,3900481843.0,2023-02-14
36,Oasis Network,rose,0.0773523,65550790,389032611.0,2023-02-14
37,Terra Classic,luna,0.000169529,63312156,1007985961.0,2023-02-14
38,TerraClassicUSD,ust,0.03039,62660731,297806814.0,2023-02-14
39,Multi Collateral DAI,dai,0.999945,61660366,5194570333.0,2023-02-14
40,NEAR Protocol,near,2.24361,59091431,1877548169.0,2023-02-14
41,Aave,aave,82.9737,56917726,1174129152.0,2023-02-14
42,Highstreet,high,3.23998,56677571,99281751.0,2023-02-14
43,Filecoin,fil,5.08021,51706240,1978815115.0,2023-02-14
44,USDD,usdd,0.986761,51038505,715729702.0,2023-02-14
45,Ocean Protocol,ocean,0.476937,48305694,207003593.0,2023-02-14
46,Loopring,lrc,0.409198,48036185,509857419.0,2023-02-14
47,ApeCoin,ape,5.21709,47726687,1903832783.0,2023-02-14
48,Decentraland,mana,0.674586,47591430,1225466247.0,2023-02-14
49,Onyxcoin,xcn,0.0172618,45853702,370660021.0,2023-02-14
50,BarnBridge,bond,5.03738,45690584,49978807.0,2023-02-14
1,Tether,usdt,1.0004,18997508845,69210392877.0,2023-02-14
2,Bitcoin,btc,22229.0,13536184400,428170215062.0,2023-02-14
3,Binance USD,busd,0.999625,7351548358,21835211751.0,2023-02-14
4,Ethereum,eth,1559.9,3183349371,189447764942.0,2023-02-14
5,USD Coin,usdc,0.999968,581494073,42564016237.0,2023-02-14
6,Solana,sol,21.9354,456847060,8037455147.0,2023-02-14
7,XRP,xrp,0.378932,393020229,19096500248.0,2023-02-14
8,Polygon,matic,1.25524,378563238,11241340459.0,2023-02-14
9,Binance Coin,bnb,297.73,347730728,47811938772.0,2023-02-14
10,Aptos,apt,14.4023,324600942,2107233444.0,2023-02-14
11,Fantom,ftm,0.5109,321256748,1418878211.0,2023-02-14
12,Hashflow,hft,0.715007,231263338,125290102.0,2023-02-14
13,SingularityNET,agix,0.459807,218717848,538639576.0,2023-02-14
14,Cardano,ada,0.387497,182625313,13579870701.0,2023-02-14
15,Dogecoin,doge,0.0834069,169423540,11450726442.0,2023-02-14
16,SHIBA INU,shib,1.27589e-05,167502554,7519728351.0,2023-02-14
17,Optimism,op,2.40905,161245543,541431071.0,2023-02-14
18,The Graph,grt,0.168017,157464436,1476556411.0,2023-02-14
19,Litecoin,ltc,95.3278,155057549,6846404410.0,2023-02-14
20,Fetch.ai,fet,0.452675,154038801,311494067.0,2023-02-14
21,Lido DAO Token,ldo,2.54951,131775252,2112699493.0,2023-02-14
22,Mina,mina,1.00644,116716821,843985539.0,2023-02-14
23,Render Token,rndr,1.73074,109336423,479139494.0,2023-02-14
24,Avalanche,avax,18.0856,97863044,5658897100.0,2023-02-14
25,Gala,gala,0.0439328,95167747,331363347.0,2023-02-14
26,dYdX,dydx,2.65803,93803511,371928675.0,2023-02-14
27,Magic,magic,1.65331,90629671,342230454.0,2023-02-14
28,Curve,crv,1.07608,88437042,783427716.0,2023-02-14
29,Hooked Protocol,hook,2.56333,87819279,128166568.0,2023-02-14
30,ChainLink,link,6.82567,79091953,3355502082.0,2023-02-14
31,The Sandbox,sand,0.714935,78524536,1123847555.0,2023-02-14
32,TRON,trx,0.0665923,78497015,6130109916.0,2023-02-14
33,Polkadot,dot,6.24335,75894731,7376243237.0,2023-02-14
34,Hedera,hbar,0.0877666,74310972,2235682599.0,2023-02-14
35,Cosmos,atom,13.4678,67031459,3898635762.0,2023-02-14
36,Oasis Network,rose,0.07738,65551396,389171842.0,2023-02-14
37,Terra Classic,luna,0.000169529,63312414,1007985960.0,2023-02-14
38,TerraClassicUSD,ust,0.03039,62661219,297806814.0,2023-02-14
39,Multi Collateral DAI,dai,0.999945,61662534,5194568815.0,2023-02-14
40,NEAR Protocol,near,2.24363,59091832,1877563131.0,2023-02-14
41,Aave,aave,82.9464,56918355,1173742382.0,2023-02-14
42,Highstreet,high,3.23898,56677937,99251159.0,2023-02-14
43,Filecoin,fil,5.08194,51706591,1979487385.0,2023-02-14
44,USDD,usdd,0.98679,51043234,715750607.0,2023-02-14
45,Ocean Protocol,ocean,0.476936,48305962,207003077.0,2023-02-14
46,Loopring,lrc,0.408824,48036608,509392218.0,2023-02-14
47,ApeCoin,ape,5.21709,47727009,1903832783.0,2023-02-14
48,Decentraland,mana,0.674335,47591783,1225011417.0,2023-02-14
49,Onyxcoin,xcn,0.0172618,45853728,370660021.0,2023-02-14
50,BarnBridge,bond,5.03738,45690980,49978810.0,2023-02-14
1,Tether,usdt,1.00039,18995489371,69210003103.0,2023-02-14
2,Bitcoin,btc,22226.8,13534848608,428127141038.0,2023-02-14
3,Binance USD,busd,0.999625,7349616580,21835211751.0,2023-02-14
4,Ethereum,eth,1559.62,3183392492,189413340890.0,2023-02-14
5,USD Coin,usdc,0.999968,581446675,42564016237.0,2023-02-14
6,Solana,sol,21.9219,456766581,8032509544.0,2023-02-14
7,XRP,xrp,0.378932,392609539,19096467768.0,2023-02-14
8,Polygon,matic,1.25482,378670068,11237576099.0,2023-02-14
9,Binance Coin,bnb,297.782,347563285,47820200611.0,2023-02-14
10,Aptos,apt,14.4023,324554883,2107233444.0,2023-02-14
11,Fantom,ftm,0.5109,320998731,1418878211.0,2023-02-14
12,Hashflow,hft,0.716159,231545677,125492103.0,2023-02-14
13,SingularityNET,agix,0.460082,218773460,538961003.0,2023-02-14
14,Cardano,ada,0.387417,182702370,13577056320.0,2023-02-14
15,Dogecoin,doge,0.0833915,169460347,11448615287.0,2023-02-14
16,SHIBA INU,shib,1.27512e-05,167633742,7515223200.0,2023-02-14
17,Optimism,op,2.40905,161329523,541431071.0,2023-02-14
18,The Graph,grt,0.168076,157526433,1477080863.0,2023-02-14
19,Litecoin,ltc,95.2818,155073959,6843103400.0,2023-02-14
20,Fetch.ai,fet,0.452555,154044377,311411752.0,2023-02-14
21,Lido DAO Token,ldo,2.54628,131763593,2110020256.0,2023-02-14
22,Mina,mina,1.00644,116796496,843985610.0,2023-02-14
23,Render Token,rndr,1.73074,109376903,479139488.0,2023-02-14
24,Avalanche,avax,18.0774,97851155,5656333427.0,2023-02-14
25,Gala,gala,0.0439153,95212055,331231038.0,2023-02-14
26,dYdX,dydx,2.65742,94118188,371843429.0,2023-02-14
27,Magic,magic,1.65331,90667105,342230454.0,2023-02-14
28,Curve,crv,1.07607,88433646,783421485.0,2023-02-14
29,Hooked Protocol,hook,2.56055,87591492,128027507.0,2023-02-14
30,ChainLink,link,6.82567,79115334,3355502080.0,2023-02-14
31,The Sandbox,sand,0.714932,78516787,1123843622.0,2023-02-14
32,TRON,trx,0.0665826,78359640,6129222475.0,2023-02-14
33,Polkadot,dot,6.2426,75900518,7375347374.0,2023-02-14
34,Hedera,hbar,0.0876993,74192445,2233968986.0,2023-02-14
35,Cosmos,atom,13.4678,67047127,3898635710.0,2023-02-14
36,Oasis Network,rose,0.0773708,65564447,389125394.0,2023-02-14
37,Terra Classic,luna,0.000169164,63303520,1005814678.0,2023-02-14
38,TerraClassicUSD,ust,0.03039,62646999,297806814.0,2023-02-14
39,Multi Collateral DAI,dai,0.999945,61975369,5194570334.0,2023-02-14
40,NEAR Protocol,near,2.24258,59078524,1876689195.0,2023-02-14
41,Aave,aave,82.9466,56898747,1173744542.0,2023-02-14
42,Highstreet,high,3.23699,56677265,99189976.0,2023-02-14
43,Filecoin,fil,5.08191,51707623,1979477539.0,2023-02-14
44,USDD,usdd,0.986775,51037783,715739771.0,2023-02-14
45,Ocean Protocol,ocean,0.476933,48437772,207001869.0,2023-02-14
46,Loopring,lrc,0.408824,48049012,509392218.0,2023-02-14
47,ApeCoin,ape,5.21709,47717133,1903832783.0,2023-02-14
48,Decentraland,mana,0.674335,47582572,1225011417.0,2023-02-14
49,Onyxcoin,xcn,0.0172618,45901651,370660021.0,2023-02-14
50,BarnBridge,bond,5.03738,45653654,49978833.0,2023-02-14
1,Tether,usdt,1.00033,19009386337,69205226407.0,2023-02-14
2,Bitcoin,btc,22210.1,13554249242,427805688139.0,2023-02-14
3,Binance USD,busd,0.999722,7352051329,21837332550.0,2023-02-14
4,Ethereum,eth,1556.22,3185713789,188999706477.0,2023-02-14
5,USD Coin,usdc,1.00006,582095742,42568180374.0,2023-02-14
6,Solana,sol,21.8859,455726060,8019324843.0,2023-02-14
7,XRP,xrp,0.378384,392422659,19068854235.0,2023-02-14
8,Polygon,matic,1.25284,381372569,11219844781.0,2023-02-14
9,Binance Coin,bnb,297.428,343754473,47763370738.0,2023-02-14
10,Aptos,apt,14.3981,323626392,2106632596.0,2023-02-14
11,Fantom,ftm,0.511228,320576476,1419788748.0,2023-02-14
12,Hashflow,hft,0.714345,234532039,125174189.0,2023-02-14
13,SingularityNET,agix,0.458992,220262271,537684517.0,2023-02-14
14,Cardano,ada,0.386779,182543941,13554699622.0,2023-02-14
15,Dogecoin,doge,0.0833042,168915940,11436637274.0,2023-02-14
16,SHIBA INU,shib,1.27412e-05,167814641,7509326447.0,2023-02-14
17,Optimism,op,2.40713,161724755,540998785.0,2023-02-14
18,The Graph,grt,0.167516,158477408,1472161024.0,2023-02-14
19,Litecoin,ltc,95.106,155126185,6830475350.0,2023-02-14
20,Fetch.ai,fet,0.452402,154588982,311306273.0,2023-02-14
21,Lido DAO Token,ldo,2.54464,131954265,2108659029.0,2023-02-14
22,Mina,mina,0.99881,116587788,837580086.0,2023-02-14
23,Render Token,rndr,1.72147,108945194,476572871.0,2023-02-14
24,Avalanche,avax,18.0482,97974415,5647190810.0,2023-02-14
25,Gala,gala,0.0438093,95410387,330432047.0,2023-02-14
26,dYdX,dydx,2.63545,94917860,368769393.0,2023-02-14
27,Magic,magic,1.66134,90884348,343892769.0,2023-02-14
28,Curve,crv,1.07142,88031661,780035691.0,2023-02-14
29,Hooked Protocol,hook,2.57008,87808103,128504296.0,2023-02-14
30,ChainLink,link,6.80383,79548337,3344763088.0,2023-02-14
31,The Sandbox,sand,0.712133,78919706,1119442478.0,2023-02-14
32,TRON,trx,0.0665912,78086838,6130013865.0,2023-02-14
33,Polkadot,dot,6.22871,76098588,7358946675.0,2023-02-14
34,Hedera,hbar,0.0889785,73544626,2266552527.0,2023-02-14
35,Cosmos,atom,13.4153,67348638,3883457292.0,2023-02-14
36,Oasis Network,rose,0.0783184,66022284,393891326.0,2023-02-14
37,Terra Classic,luna,0.00016931,62934142,1006683254.0,2023-02-14
38,TerraClassicUSD,ust,0.03024,62369065,296336889.0,2023-02-14
39,Multi Collateral DAI,dai,0.999968,61996378,5194688617.0,2023-02-14
40,NEAR Protocol,near,2.24572,59222705,1879319699.0,2023-02-14
41,Highstreet,high,3.23397,56907029,99097593.0,2023-02-14
42,Aave,aave,82.8235,56822263,1172002640.0,2023-02-14
43,Filecoin,fil,5.06839,51521550,1974211293.0,2023-02-14
44,USDD,usdd,0.98606,51052341,715221287.0,2023-02-14
45,Blur,blur,0.699903,48922353,0.0,2023-02-14
46,Ocean Protocol,ocean,0.477609,48583640,207295530.0,2023-02-14
47,Loopring,lrc,0.408071,48090185,508453863.0,2023-02-14
48,Decentraland,mana,0.674702,47704989,1225676386.0,2023-02-14
49,ApeCoin,ape,5.19966,47554281,1897472933.0,2023-02-14
50,JasmyCoin,jasmy,0.00667193,46674478,171652049.0,2023-02-14
1,Tether,usdt,1.00033,19009728686,69205226199.0,2023-02-14
2,Bitcoin,btc,22210.4,13554239563,427810621643.0,2023-02-14
3,Binance USD,busd,0.999722,7352121646,21837332550.0,2023-02-14
4,Ethereum,eth,1556.15,3185716331,188992332523.0,2023-02-14
5,USD Coin,usdc,1.00006,582140555,42568183183.0,2023-02-14
6,Solana,sol,21.8927,455725853,8021808206.0,2023-02-14
7,XRP,xrp,0.378382,392421496,19068762601.0,2023-02-14
